A9100028,EAGLE RIVER CHRISTIAN SCHOOL,3,17,10336 E EAGLE RIVER LOOP RD,EAGLE RIVER,00020,020,AK,02,99577,9072440927,180,6.5,No,,,11,15,8,4,3,4,10,3,10,2,1,3,3,77,77,0,1,1,4,33,0,38,7.4,31,1,1,3,2,3,0,1.29,1.29,5.19,42.85,0,49.35,10.4,4,ANCHORAGE,Association of Christian Schools International (ACSI),,,,,,,
A1500048,EAGLES' RIDGE SCHOOL,-1,-1,PO BOX 1110,DELTA JUNCTION,00240,240,AK,02,99737,9078955200,180,5.5,Yes,,,,,,,,,,,,,,,,31,,,,,,,,,3,43,1,1,-1,2,4,,,,,,,,,8,SOUTHEAST FAIRBANKS,School does not belong to ANY associations or organizations,,,,,,,
02157038,FAIRBANKS MONTESSORI ASSOCIATION,2,3,2014 30TH AVE,FAIRBANKS,00090,090,AK,02,99701,9074518485,170,7,No,,99,12,,,,,,,,,,,,,111,12,0,0,1,0,11,0,0,4,13,1,2,1,3,1,0,0,8.33,0,91.66,0,0,3,30,FAIRBANKS NORTH STAR,School does not belong to ANY associations or organizations,,,,,,,
A9100034,FAIRHILL CHRISTIAN SCHOOL,2,13,101 CITY LIGHTS BLVD,FAIRBANKS,00090,090,AK,02,99712,9074572167,180,6,Yes,,24,16,20,8,10,8,5,8,14,2,,,,,115,91,2,0,2,5,82,0,0,6.9,23,1,1,1,2,2,2.19,0,2.19,5.49,90.1,0,0,13.18,10,FAIRBANKS NORTH STAR,School does not belong to ANY associations or organizations,,,,,,,
A0900096,FAITH COMMUNITY CHRISTIAN SCHOOL,2,13,PO BOX 33317,JUNEAU,00110,110,AK,02,99803,9077902240,180,6.5,No,,10,7,9,7,7,9,6,4,5,4,,,,,68,58,1,4,0,0,51,0,2,6.6,41,1,1,1,2,4,1.72,6.89,0,0,87.93,0,3.44,8.78,8,JUNEAU,School does not belong to ANY associations or organizations,,,,,,,
A9100035,FAITH EVANGELICAL LUTHERAN SCHOOL,2,13,5200 LAKE OTIS PKWY,ANCHORAGE,00020,020,AK,02,99507,9075633499,180,7,No,,18,6,5,3,1,3,2,4,5,3,,,,,50,32,0,3,1,0,28,0,0,3,11,1,1,1,2,1,0,9.37,3.12,0,87.5,0,0,10.66,22,ANCHORAGE,School does not belong to ANY associations or organizations,,,,,,,
A0300050,GATEWAY CHRISTIAN SCHOOLS,3,13,3704 DENALI AVE,KETCHIKAN,00130,130,AK,02,99901,9072256489,180,6.5,Yes,,,3,2,,1,1,,1,1,2,,,,,11,11,5,0,0,0,6,0,0,2.6,33,1,1,1,2,3,45.45,0,0,0,54.54,0,0,4.23,5,KETCHIKAN GATEWAY,American Association of Christian Schools (AACS),,,,,,,
02001589,GOLDEN HEART CHRISTIAN SCHOOL,7,13,PO BOX 82997,FAIRBANKS,00090,090,AK,02,99708,9074792904,180,7,Yes,,,,,2,1,3,,,1,2,,,,,9,9,0,0,0,0,5,0,4,1,41,1,1,1,2,4,0,0,0,0,55.55,0,44.44,9,28,FAIRBANKS NORTH STAR,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0300052,GRACE EVANGELICAL LUTHERAN SCHOOL,2,13,47585 CIECHANSKI RD,KENAI,00122,122,AK,02,99611,9072839551,175,7,No,,29,9,3,7,5,4,2,3,4,2,,,,,68,39,3,0,0,0,36,0,0,2.6,41,1,1,1,2,4,7.69,0,0,0,92.3,0,0,15,22,KENAI PENINSULA,Other school association(s),,,,,,,
00023582,HOLY NAME CATHOLIC SCHOOL,2,11,433 JACKSON ST,KETCHIKAN,00130,130,AK,02,99901,9072252400,174,6.75,Yes,,30,9,15,10,5,4,4,3,,,,,,,80,50,1,2,3,0,37,0,7,5.6,33,1,1,1,1,3,2,4,6,0,74,0,14,8.92,1,KETCHIKAN GATEWAY,National Catholic Educational Association (NCEA),,,,,,,
A9504592,HOLY ROSARY ACADEMY,3,17,1010 W FIREWEED LN,ANCHORAGE,00020,020,AK,02,99503,9072765822,173,7.16,Yes,,,9,10,9,13,12,13,11,12,10,13,11,13,12,148,148,6,18,15,3,90,3,13,17.1,11,1,1,3,1,1,4.05,12.16,10.13,2.02,60.81,2.02,8.78,8.65,1,ANCHORAGE,Other religious school associations,,,,,,,
